Households,Population,Total_rooms,Total_bedrooms,Longitude,Latitude,Median_income,Median_house_value,Ocean_proximity
1,13,13,1,-122.5,37.79,15.0001,500001,NEAR BAY
2,8,8,2,-116.95,33.86,1.625,55000,INLAND
2,6,6,2,-117.79,35.21,2.375,137500,INLAND
2,28,28,7,-119.54,36.51,4.625,162500,INLAND
3,5,5,3,-114.62,33.62,0.536,275000,INLAND
3,9,9,10,-116.76,34.14,0.536,42500,INLAND
3,8,8,4,-117.12,32.66,1.125,60000,NEAR OCEAN
3,11,11,3,-122.37,37.6,5.048,350000,NEAR OCEAN
4,3,3,6,-118.44,34.04,0.536,350000,<1H OCEAN
4,8,8,4,-122.06,37.39,3.75,375000,NEAR BAY
4,17,17,7,-118.43,33.97,7.7197,500001,<1H OCEAN
4,17,17,5,-121.96,37.13,15.0001,400000,<1H OCEAN
5,13,13,5,-117.19,32.75,0.536,162500,NEAR OCEAN
5,9,9,4,-120.85,37.75,1.625,85000,INLAND
5,23,23,6,-121.3,37.94,2.375,67500,INLAND
5,36,36,4,-122.0,37.0,2.625,137500,NEAR OCEAN
5,15,15,5,-117.86,33.67,3.875,450000,<1H OCEAN
5,26,26,11,-119.55,36.51,4.125,67500,INLAND
5,13,13,4,-122.14,37.5,15.0001,500001,NEAR BAY
6,15,15,5,-118.04,33.9,0.4999,162500,<1H OCEAN
6,20,20,9,-118.42,34.16,0.536,375000,<1H OCEAN
6,8,8,3,-117.76,35.22,1.625,275000,INLAND
6,20,20,10,-121.24,37.9,2.625,137500,INLAND
6,7460,7460,5,-121.98,38.32,10.2264,137500,INLAND
7,18,18,4,-122.29,37.81,0.4999,67500,NEAR BAY
7,14,14,10,-118.12,34.71,1.125,225000,INLAND
7,46,46,6,-117.75,34.06,1.625,67500,INLAND
7,25,25,8,-118.05,34.02,2.125,375000,<1H OCEAN
7,14,14,7,-118.44,34.04,2.1875,225000,<1H OCEAN
7,32,32,11,-118.27,33.76,3.125,112500,NEAR OCEAN
7,4198,4198,8,-120.51,40.41,5.5179,67500,INLAND
7,55,55,7,-118.21,34.02,7.5752,67500,<1H OCEAN
7,25,25,9,-117.61,34.02,7.7197,275000,INLAND
7,52,52,8,-121.89,37.42,7.7197,225000,<1H OCEAN
8,18,18,28,-123.17,40.31,0.536,14999,INLAND
8,34,34,11,-119.04,35.32,1.2,50000,INLAND
8,13,13,8,-120.13,35.87,2.375,71300,INLAND
8,27,27,12,-121.29,37.33,4.0,75000,INLAND
8,49,49,3,-117.27,34.17,4.625,250000,INLAND
8,32,32,14,-118.02,33.8,5.875,193800,<1H OCEAN
8,47,47,12,-118.17,33.89,7.2423,350000,<1H OCEAN
8,19,19,8,-122.49,38.0,7.7197,400000,NEAR BAY
9,166,166,19,-121.04,37.67,0.536,162500,INLAND
9,35,35,9,-118.2,34.02,1.625,175000,<1H OCEAN
9,14,14,5,-117.11,32.66,1.625,118800,NEAR OCEAN
9,22,22,8,-120.92,37.63,1.7679,450000,INLAND
9,21,21,7,-118.06,34.03,2.375,175000,<1H OCEAN
9,74,74,4,-121.47,38.51,3.625,80000,INLAND
9,23,23,9,-122.4,37.75,6.1359,225000,NEAR BAY
9,29,29,3,-119.23,34.25,8.0,275000,NEAR OCEAN
9,25,25,20,-121.96,37.74,15.0001,350000,<1H OCEAN
10,94,94,18,-122.71,38.91,1.375,55000,INLAND
10,27,27,8,-121.84,36.62,2.225,150000,<1H OCEAN
10,27,27,11,-117.03,33.89,3.125,187500,INLAND
10,24,24,17,-122.06,36.96,4.5,258300,NEAR OCEAN
