Households,Population,Total_rooms,Total_bedrooms,Longitude,Latitude,Median_income,Median_house_value,Ocean_proximity
794,1900,1900,1157,-117.13,32.63,8.7991,478500,NEAR OCEAN
362,805,805,357,-118.41,34.02,3.3462,307000,<1H OCEAN
322,765,765,397,-122.48,38.48,4.6379,348200,INLAND
367,1102,1102,347,-122.44,37.72,4.3125,267200,NEAR BAY
520,1150,1150,529,-122.68,38.43,3.5885,191900,<1H OCEAN
368,829,829,374,-124.15,40.78,3.3984,90000,NEAR OCEAN
1404,4319,4319,1373,-122.03,37.55,6.992,284800,NEAR BAY
292,761,761,263,-118.48,34.23,6.5268,273100,<1H OCEAN
237,693,693,277,-120.27,34.72,3.2569,230800,<1H OCEAN
100,307,307,97,-122.04,37.5,3.1696,156300,NEAR BAY
379,649,649,394,-122.43,37.79,5.0049,460000,NEAR BAY
566,2222,2222,617,-118.46,34.22,2.6299,170700,<1H OCEAN
250,637,637,379,-115.84,33.49,2.0347,68900,INLAND
154,400,400,150,-122.65,38.4,6.8586,343100,<1H OCEAN
7,25,25,9,-117.61,34.02,7.7197,275000,INLAND
614,1170,1170,629,-122.43,37.77,3.6894,418800,NEAR BAY
414,907,907,443,-118.31,34.13,7.2692,498700,<1H OCEAN
139,390,390,159,-120.94,37.7,4.4,174100,INLAND
245,976,976,243,-117.95,33.74,5.4485,225200,<1H OCEAN
823,2797,2797,825,-117.13,32.94,4.9375,180400,<1H OCEAN
424,938,938,448,-121.89,37.3,5.0662,331600,<1H OCEAN
297,701,701,330,-122.31,37.56,3.32,292900,NEAR OCEAN
567,1227,1227,585,-118.28,34.1,4.0602,324000,<1H OCEAN
49,106,106,52,-119.02,35.39,2.0455,72500,INLAND
261,718,718,280,-118.02,34.11,4.625,219000,INLAND
173,649,649,171,-115.4,32.86,3.3182,113800,INLAND
151,406,406,184,-119.8,37.5,3.1771,121900,INLAND
391,1056,1056,414,-118.44,34.18,4.375,286100,<1H OCEAN
272,673,673,274,-121.96,37.35,5.2019,279900,<1H OCEAN
632,1426,1426,689,-121.85,39.74,1.5633,84500,INLAND
350,1618,1618,371,-117.99,34.13,2.9605,129400,INLAND
337,969,969,302,-121.54,38.54,3.0536,73100,INLAND
293,901,901,311,-118.36,33.82,6.2247,339000,<1H OCEAN
387,1046,1046,398,-120.31,38.02,3.8203,139700,INLAND
747,1373,1373,835,-122.25,37.81,3.225,218800,NEAR BAY
286,860,860,266,-117.66,33.61,7.1497,274000,<1H OCEAN
87,354,354,74,-118.24,33.93,2.75,90600,<1H OCEAN
1019,3785,3785,1106,-121.3,38.0,1.7774,100000,INLAND
846,1535,1535,909,-118.4,34.15,3.0398,369100,<1H OCEAN
813,2098,2098,817,-121.91,37.28,6.4285,337300,<1H OCEAN
159,448,448,161,-121.53,39.52,2.4821,73800,INLAND
390,1199,1199,384,-118.86,34.2,4.125,264600,<1H OCEAN
1778,4432,4432,2121,-119.74,36.85,3.9032,140800,INLAND
186,764,764,227,-119.0,35.36,0.9407,43600,INLAND
306,704,704,330,-118.15,34.11,3.7895,364800,<1H OCEAN
632,2272,2272,644,-117.11,32.74,2.2,98700,NEAR OCEAN
610,2143,2143,618,-117.55,33.88,2.2372,108800,INLAND
197,625,625,222,-122.14,39.97,3.1319,62700,INLAND
588,2042,2042,574,-117.76,33.7,7.9125,344900,<1H OCEAN
368,931,931,390,-122.14,37.73,3.8125,235100,NEAR BAY
170,474,474,176,-117.96,33.83,6.1001,298900,<1H OCEAN
453,1075,1075,460,-118.46,33.99,4.337,360600,<1H OCEAN
444,989,989,451,-122.34,37.94,3.125,143900,NEAR BAY
258,652,652,257,-118.14,33.86,4.2062,195400,<1H OCEAN
700,2165,2165,747,-122.36,37.54,10.1675,500001,NEAR OCEAN
451,1299,1299,452,-122.18,37.76,1.8407,96700,NEAR BAY
371,1044,1044,382,-117.64,34.03,4.8281,137000,INLAND
424,1207,1207,451,-119.69,36.79,2.7404,76300,INLAND
325,1061,1061,369,-122.34,40.63,3.6853,151600,INLAND
179,426,426,170,-121.43,37.74,3.0865,119800,INLAND
398,957,957,433,-121.98,37.16,5.3468,279900,<1H OCEAN
420,911,911,476,-117.41,33.94,2.87,117600,INLAND
769,1294,1294,842,-122.43,37.79,3.4375,500001,NEAR BAY
370,1039,1039,370,-118.11,33.79,5.7942,257000,<1H OCEAN
247,759,759,244,-118.85,34.14,8.7657,366300,<1H OCEAN
628,1598,1598,623,-121.96,37.36,3.5199,261400,<1H OCEAN
546,1672,1672,601,-118.35,34.04,1.8685,150700,<1H OCEAN
1451,3946,3946,1527,-117.94,33.91,5.6441,313000,<1H OCEAN
1059,2749,2749,1042,-121.84,37.37,2.3199,140100,<1H OCEAN
374,1053,1053,409,-121.31,38.65,5.5,165700,INLAND
321,640,640,334,-118.42,34.06,6.871,500001,<1H OCEAN
815,1986,1986,839,-122.47,37.95,3.9712,187500,NEAR BAY
1036,2866,2866,1216,-120.56,35.07,3.3603,280200,<1H OCEAN
1484,2496,2496,1593,-117.16,32.75,2.9112,199100,NEAR OCEAN
689,2341,2341,693,-116.96,32.79,2.6087,123800,<1H OCEAN
207,487,487,213,-122.49,37.74,3.8333,340800,NEAR OCEAN
617,1082,1082,648,-117.23,32.79,3.625,266700,NEAR OCEAN
306,905,905,310,-122.27,37.54,8.9083,500001,NEAR BAY
252,736,736,268,-118.13,34.01,2.7083,161800,<1H OCEAN
426,1267,1267,429,-122.01,37.36,6.6329,349000,<1H OCEAN
699,2758,2758,718,-118.07,34.06,2.5985,168600,<1H OCEAN
382,1008,1008,438,-121.43,38.62,2.0639,73000,INLAND
652,971,971,674,-118.14,34.15,0.8438,175000,<1H OCEAN
402,1002,1002,414,-117.9,33.9,4.9743,193500,<1H OCEAN
1029,2808,2808,1115,-122.51,38.17,3.6392,246300,NEAR BAY
221,316,316,232,-117.32,33.22,2.7417,91700,NEAR OCEAN
403,1154,1154,470,-122.5,37.74,4.3611,268100,NEAR OCEAN
414,1181,1181,421,-117.99,33.73,3.8365,250900,<1H OCEAN
438,1506,1506,472,-122.23,37.78,1.9338,112500,NEAR BAY
356,1691,1691,389,-115.49,32.69,1.899,64000,INLAND
536,1457,1457,549,-118.09,34.14,5.3377,373800,INLAND
500,1536,1536,580,-118.0,33.82,3.2326,204700,<1H OCEAN
107,349,349,107,-118.29,34.16,4.3438,189800,<1H OCEAN
266,825,825,272,-117.9,34.09,4.125,220800,<1H OCEAN
418,2198,2198,438,-122.45,37.78,3.6667,418400,NEAR BAY
450,1047,1047,442,-119.72,36.8,2.625,71500,INLAND
421,1255,1255,394,-117.92,33.94,4.7813,198200,<1H OCEAN
312,1005,1005,317,-115.6,32.87,4.1293,83200,INLAND
288,691,691,299,-122.32,37.56,5.549,500001,NEAR OCEAN
707,1364,1364,740,-118.27,34.1,5.7778,412700,<1H OCEAN
216,763,763,206,-117.97,34.05,3.5179,161400,<1H OCEAN
1087,3012,3012,1217,-120.86,37.69,3.0809,143600,INLAND
170,709,709,182,-118.09,34.07,3.175,170800,<1H OCEAN
340,862,862,349,-117.8,33.68,6.9133,274100,<1H OCEAN
545,2237,2237,573,-118.18,33.98,2.3444,156100,<1H OCEAN
326,1474,1474,318,-119.54,36.61,1.4937,54700,INLAND
603,2830,2830,632,-118.02,34.08,2.3333,164200,INLAND
863,2471,2471,893,-118.11,33.9,3.5052,196000,<1H OCEAN
266,975,975,253,-121.78,36.92,4.3906,241200,<1H OCEAN
754,2486,2486,791,-118.16,34.04,1.5078,181900,<1H OCEAN
1219,3645,3645,1269,-122.01,37.91,7.6877,367700,NEAR BAY
168,316,316,139,-122.41,37.76,3.0865,225000,NEAR BAY
138,479,479,218,-119.31,34.7,3.3438,156300,INLAND
446,1151,1151,427,-117.27,34.16,6.2236,159700,INLAND
373,1166,1166,377,-118.01,33.78,6.0,233100,<1H OCEAN
308,817,817,310,-118.5,34.21,5.5675,215900,<1H OCEAN
281,598,598,291,-118.36,33.87,3.9868,281900,<1H OCEAN
483,1746,1746,467,-119.18,34.17,3.9331,187600,NEAR OCEAN
