Households,Population,Total_rooms,Total_bedrooms,Longitude,Latitude,Median_income,Median_house_value,Ocean_proximity
794,1900,1900,1157,-117.13,32.63,8.7991,452396.29,NEAR OCEAN
362,805,805,357,-118.41,34.02,3.3462,300903.03,<1H OCEAN
322,765,765,397,-122.48,38.48,4.6379,299794.0,INLAND
367,1102,1102,347,-122.44,37.72,4.3125,259391.0,NEAR BAY
520,1150,1150,529,-122.68,38.43,3.5885,190222.0,<1H OCEAN
368,829,829,374,-124.15,40.78,3.3984,105738.0,NEAR OCEAN
1404,4319,4319,1373,-122.03,37.55,6.992,385193.09,NEAR BAY
292,761,761,263,-118.48,34.23,6.5268,323132.03,<1H OCEAN
237,693,693,277,-120.27,34.72,3.2569,232344.02,<1H OCEAN
100,307,307,97,-122.04,37.5,3.1696,176889.0,NEAR BAY
379,649,649,394,-122.43,37.79,5.0049,473092.6,NEAR BAY
566,2222,2222,617,-118.46,34.22,2.6299,193386.0,<1H OCEAN
250,637,637,379,-115.84,33.49,2.0347,55243.0,INLAND
154,400,400,150,-122.65,38.4,6.8586,322499.03,<1H OCEAN
7,25,25,9,-117.61,34.02,7.7197,230802.02,INLAND
614,1170,1170,629,-122.43,37.77,3.6894,372244.12,NEAR BAY
414,907,907,443,-118.31,34.13,7.2692,462126.42,<1H OCEAN
139,390,390,159,-120.94,37.7,4.4,175148.0,INLAND
245,976,976,243,-117.95,33.74,5.4485,218614.0,<1H OCEAN
823,2797,2797,825,-117.13,32.94,4.9375,215320.0,<1H OCEAN
424,938,938,448,-121.89,37.3,5.0662,278038.01,<1H OCEAN
297,701,701,330,-122.31,37.56,3.32,314819.02,NEAR OCEAN
567,1227,1227,585,-118.28,34.1,4.0602,306094.0,<1H OCEAN
49,106,106,52,-119.02,35.39,2.0455,83036.0,INLAND
261,718,718,280,-118.02,34.11,4.625,256300.0,INLAND
173,649,649,171,-115.4,32.86,3.3182,87179.0,INLAND
151,406,406,184,-119.8,37.5,3.1771,115412.0,INLAND
391,1056,1056,414,-118.44,34.18,4.375,254654.0,<1H OCEAN
272,673,673,274,-121.96,37.35,5.2019,259338.0,<1H OCEAN
632,1426,1426,689,-121.85,39.74,1.5633,72247.0,INLAND
350,1618,1618,371,-117.99,34.13,2.9605,151653.0,INLAND
337,969,969,302,-121.54,38.54,3.0536,123251.0,INLAND
293,901,901,311,-118.36,33.82,6.2247,347121.01,<1H OCEAN
387,1046,1046,398,-120.31,38.02,3.8203,134692.0,INLAND
747,1373,1373,835,-122.25,37.81,3.225,265745.01,NEAR BAY
286,860,860,266,-117.66,33.61,7.1497,286319.0,<1H OCEAN
87,354,354,74,-118.24,33.93,2.75,105361.0,<1H OCEAN
1019,3785,3785,1106,-121.3,38.0,1.7774,96557.0,INLAND
846,1535,1535,909,-118.4,34.15,3.0398,364499.15,<1H OCEAN
813,2098,2098,817,-121.91,37.28,6.4285,319960.0,<1H OCEAN
159,448,448,161,-121.53,39.52,2.4821,74797.0,INLAND
